jenis_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahun,Total_Produksi_Tahunan,Growth_Rate,Produksi_Tahun_Lalu,jenis_ikan_encoded
Ikan Pelagis kecill lainnya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6290.0,0.0,2021,0.00035574083791412134,,,28
Ikan Pelagis kecill lainnya,210.0,47.05,100.0,200.0,550.0,200.0,700.0,817.369,579.0,615.0,950.0,1.476,2022,0.0002810635437276423,4.01524327016687e-05,0.00035561784364147045,28
Ikan Terbang,885.0,933.0,0.0,0.0,250.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,0.00012369394713426899,,,29
Ikan Terbang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,70.0,0.0,0.0,0.0,2021,8.971593525897292e-06,3.7149533495709774e-06,0.00012357092431102294,29
Ikan Terbang (Flying fish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2056.0,500.0,846.0,2018,0.0001923689655171897,,,30
Ikan Terbang (Flying fish),101.0,822.0,1130.0,1658.0,571.0,312.0,1588.0,1623.0,1221.0,1591.0,296.0,70.0,2019,0.0006212201305591354,0.00016406363709349666,0.00019224595114358348,30
Ikan demersal lainnya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2021,1.6891282631011708e-05,,,31
Julung-Julung,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,8.123055407492174e-06,,,32
Kakap Batu,0.0,15600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,0.00088240016340423,,,33
Kakap Merah,300.0,6.0,710.0,1.16,0.0,870.0,350.0,0.0,0.0,0.0,830.0,0.0,2020,0.00017342733194607174,,,34
Kakap Merah,1160.0,900.0,200.0,950.0,0.0,1800.0,246.0,0.0,0.0,0.0,0.0,0.0,2021,0.00029724827695206204,8.708465112952434e-05,0.00017330431524192403,34
Kakap merah (Red snappers),210.0,4714.0,550.0,550.0,186.0,12.0,1543.0,113.0,2040.0,1165.0,2015.0,799.0,2018,0.0007860628023613025,,,35
Kakap merah (Red snappers),1293.0,300.0,0.0,0.0,632.0,0.0,180.0,0.0,150.0,510.0,1055.0,250.0,2019,0.0002471279587582665,1.597919557336559e-05,0.0007859398610346237,35
Kakap putih (Barramundi),0.0,0.0,0.0,0.0,0.0,0.0,1533.0,0.0,0.0,0.0,0.0,0.0,2018,8.664111596391225e-05,,,36
Kembung,138.93,22.468,10.776,18.727,92.35,9.051,9.665,5.475,12.075,14.92,28.075,109.5,2020,2.6621865219218426e-05,,,37
Kembung,8930.0,7048.0,16995.0,14800.0,14130.0,50570.0,9025.0,6190.0,16175.0,4225.0,10475.0,9820.0,2021,0.009525213453023486,0.018129014336454783,2.6498830452413504e-05,37
Kembung,132.54,8.94,12.835,2.19,2.44,7.285,5.23,5.762,1.99,12.595,6.597,5.588,2022,1.1460186119555815e-05,6.029747359010892e-08,0.009525091586944793,37
Kembung (Short-bodied mackerel),56319.0,17282.0,7684.0,9390.0,11055.0,14292.0,4330.0,518.0,26504.0,80944.0,54742.0,17708.0,2019,0.01701412804002757,,,38
Kembung (Short0bodied mackerel),2755.0,11625.0,5805.0,3251.0,20972.0,23815.0,16432.0,16430.0,16454.0,32102.0,11419.0,11532.0,2018,0.009763313249047962,,,39
Kerapu Karang,0.0,0.0,2.023,0.0,13.131,10.35,8.35,0.0,20.0,12.665,20.283,22.418,2020,6.099009149056505e-06,,,40
Kerapu Karang,13666.0,13930.0,10350.0,13451.0,44765.0,24900.0,11009.0,12525.0,16200.0,17175.0,66169.0,26098.0,2021,0.01528707012303369,0.1257399436276167,5.9759718571595504e-06,40
Kerapu Karang,9.688,2.471,4.5,3.692,4.4,12.15,13.0,7.641,5.5,12.998,314.0,17.473,2022,2.297320787928432e-05,7.536550619605782e-08,0.015286948965882563,40
Kerapu karang (Blue lined seabass),450.0,20995.0,500.0,500.0,35.0,0.0,1506.0,0.0,1140.0,1322.0,1500.0,943.0,2018,0.0016342615055190564,,,41
Kerapu karang (Blue lined seabass),1575.0,1000.0,1616.0,770.0,3965.0,2071.0,83.0,0.0,90.0,200.0,28830.0,0.0,2019,0.00227400267758862,7.071062973411653e-05,0.0016341386685530855,41
Kurisi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,1200.0,1450.0,2021,0.00019038904324091108,,,42
Kurisi,100.0,47.05,23.21,23.826,8.525,19.631,50.0,50.0,5.0,1.0,68.0,8.815,2022,2.2834273904697458e-05,6.112401788553713e-06,0.0001902660286236991,42
Kuro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,2020,3.988129156504044e-08,,,43
Kuwe (Jack trevallies),0.0,100.0,90.0,90.0,524.0,393.0,126.0,397.0,5660.0,1166.0,644.0,254.0,2018,0.0005341601196107704,,,44
Kuwe (Jack trevallies),433.0,3043.0,490.0,273.0,638.0,83.0,109.0,2850.0,524.0,382.0,421.0,819.0,2019,0.0005692895977127422,5.4159749296893684e-05,0.0005340371472904787,44
Kwe,650.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,4.234742618316519e-05,,,45
Kwe,0.0,0.0,0.0,0.0,0.0,400.0,0.0,65.0,0.0,0.0,0.0,0.0,2021,2.622520193346798e-05,3.1506721802958427e-05,4.2224393351202495e-05,45
Kwe,132.54,47.05,23.21,23.826,6.3,19.631,50.0,23.0,60.0,850.0,461.0,444.0,2022,0.00012101013420416937,0.00023393785751106246,2.6102167117858385e-05,45
Lainnya,19.587,19.287,371.0,1.28,100.0,0.0,950.0,320.0,7.96,0.0,0.0,400.0,2020,0.00012375696523186252,,,46
Lainnya,20.0,0.0,750.0,570.0,100.0,17425.0,2365.0,30.0,1900.0,0.0,0.0,11125.0,2021,0.0019393958128975362,0.0007959102592753828,0.00012363394241637012,46
Layang (Scad),337433.0,406484.0,501297.0,729763.0,739106.0,763832.0,1115555.0,915851.0,648377.0,771149.0,1090156.0,904047.0,2018,0.5047697910159142,,,47
Layang (Scad),497673.0,700227.0,1762727.0,1045739.0,1212924.0,659222.0,859641.0,469156.0,613868.0,624926.0,515877.0,587233.0,2019,0.5401913359382411,5.438424961627485e-05,0.5047697300837588,47
Layang Deles,330.754,396.015,662.301,894.83,881.449,840.138,0.0,751.655,865.397,998.651,799.286,875.766,2020,0.0004692323586971425,,,48
Layang Deles,535910.0,338443.0,758303.0,641787.0,672071.0,943781.0,942781.0,994180.0,801617.0,897772.0,1014994.0,1152860.0,2021,0.5484100498762814,0.05938448149396171,0.00046910937838826614,48
Layang Deles,549.057,685.413,23.21,23.826,723.802,947.74,773.332,947.803,32.794,834.659,689.934,642.462,2022,0.00038877906553867975,3.4765277960162886e-08,0.548409994313538,48
Layur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,2020,4.12160420252917e-05,,,49
Layur,21.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,40.0,0.0,0.0,0.0,2021,3.1655845891260724e-05,3.905304570357361e-05,4.1093009054125716e-05,49
Layur (Hairtails),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,2019,3.9518965788481466e-05,,,50
Lemadang,0.0,220.0,220.0,5.567,110.0,50.0,240.0,0.0,290.0,1.1,550.0,500.0,2020,0.0001236185403801467,,,51
Lemadang,0.0,50.0,1050.0,130.0,80.0,1250.0,280.0,120.0,190.0,590.0,19210.0,1190.0,2021,0.0013655011988162095,0.0005610255658171796,0.00012349551754762278,51
Lemadang,325.0,50.0,85.0,830.0,2.95,19.631,50.0,105.0,570.0,969.0,828.0,1.356,2022,0.00021691643788294707,8.074115737822393e-06,0.0013653783287824964,51
Lemadang (Commond dolphin fish),78640.0,31560.0,74808.0,37577.0,15618.0,17514.0,36114.0,26693.0,15873.0,7739.0,7653.0,5276.0,2018,0.02008566632103041,,,52
Lemadang (Commond dolphin fish),1231.0,1443.0,21890.0,10592.0,12298.0,943.0,1027.0,1600.0,481.0,1695.0,494.0,459.0,2019,0.003063312835329059,7.749480111188127e-06,0.020085545754289162,52
Madidihang (yellowfin tuna),1339228.0,1447670.0,1703626.0,2047954.0,1862234.0,1072257.0,1080690.0,1258929.0,99504.0,1355317.0,1608299.0,1838434.0,2018,0.9455056940826576,,,53
Madidihang (yellowfin tuna),1162354.0,967771.0,1792834.0,1472508.0,1773811.0,1151331.0,1302454.0,76178.0,1374341.0,2083083.0,1917502.0,1630207.0,2019,0.9449531260599523,5.0788371374143205e-05,0.9455056873777848,53
Madidihang [YFT],0.0,899.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,5.07964899357486e-05,,,54
Madidihang [YFT],1182613.0,1227049.0,1380208.0,1087928.0,978741.0,1360831.0,1117663.0,1283348.0,1402252.0,1151006.0,1046120.0,845904.0,2021,0.7955701965138394,0.7946847299871656,5.067345814334217e-05,54
Madidihang [YFT],688.723,47.05,23.21,23.826,8.525,19.631,977.206,23.0,32.794,24.43,47.5815,8.815,2022,0.00010880445077838677,5.686326143714763e-09,0.7955701713611966,54
Manyung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2020,2.1832885786563635e-06,,,55
Manyung,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,100.0,0.0,0.0,0.0,2021,0.00011871585683962562,0.0026680140769105077,2.060250804976816e-06,55
Manyung  (Giant catfish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,2018,8.292763031173198e-06,,,56
Manyung  (Giant catfish),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,2019,3.9518965788481466e-05,0.0002403604739220138,8.169726009191427e-06,56
Pinjalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,500.0,2021,6.214664894595123e-05,,,57
Selar (Trevallies),54912.0,71675.0,85220.0,30253.0,96680.0,135149.0,208440.0,159095.0,111952.0,116877.0,86308.0,78035.0,2018,0.06984003830896174,,,58
Selar (Trevallies),52084.0,75167.0,112932.0,47788.0,73130.0,53511.0,120659.0,67561.0,43888.0,28249.0,28370.0,29242.0,2019,0.04144144740821879,3.0153763838908622e-05,0.06983992386390102,58
Selar Bentong,61.634,11.49,13.725,9.329,6.25,12.43,27.495,33.74,20.2,24.472,22.45,13.42,2020,1.4438158930702516e-05,,,59
Selar Bentong,55220.0,66630.0,63249.0,44065.0,30000.0,72105.0,49690.0,99670.0,57635.0,71501.0,47305.0,59750.0,2021,0.04054986012260659,0.14194602808112136,1.4315122664838225e-05,59
Selar Bentong,54.418,44.1,63.155,45.075,61.28,44.42,76.48,18.667,14.224,32.51,34.494,49.305,2022,3.03619949683166e-05,3.688192621799949e-08,0.04054974207373969,59
Semar,40.0,0.0,265.0,765.0,0.0,0.0,0.0,0.0,0.0,970.0,230.0,40.0,2020,0.00013059539049729726,,,60
Semar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,525.0,1140.0,650.0,0.0,2021,0.00016001137860200792,6.225792238379709e-05,0.0001304723685231913,60
Setuhuk Hitam [BLM],12.359,28.5,1.758,1.524,717.0,3.311,7.465,6.068,12.444,9.503,9.293,1.129,2020,4.576160415638001e-05,,,61
Setuhuk Hitam [BLM],12162.0,451.0,4868.0,1274.0,2724.0,1034.0,1805.0,1396.0,1504.0,903.0,1968.0,1201.0,2021,0.0017699710352559813,0.001962273423509422,4.56385717444911e-05,61
Setuhuk Hitam [BLM],132.54,64.0,88.0,480.0,8.525,19.631,93.0,181.0,106.0,24.43,351.0,8.815,2022,8.79954393700947e-05,2.5274211738257464e-06,0.0017698482149874452,61
Setuhuk biru (BUM),0.0,0.0,200.0,15.0,0.0,0.0,0.0,1.965,0.0,0.0,0.0,0.0,2020,1.2194058453560454e-05,,,62
Setuhuk biru (BUM),0.0,0.0,633.0,0.0,96.0,1959.0,1122.0,1538.0,2799.0,2180.0,3722.0,3374.0,2021,0.0009855258293943983,0.0040809581459142685,1.2071021911586434e-05,62
Setuhuk biru (BUM),826.0,831.0,1.042,3.14,692.0,1.452,1.232,1.429,1.155,9.4,3.912,1.452,2022,0.000134171356405088,6.920912591873572e-06,0.0009854029126092599,62
Setuhuk hitam (Black Marlin),3152.0,6254.0,6104.0,5756.0,11267.0,6326.0,8204.0,8740.0,4608.0,9049.0,21420.0,32899.0,2018,0.007002000504134033,,,63
Setuhuk hitam (Black Marlin),15240.0,32077.0,39733.0,14456.0,23331.0,15272.0,16709.0,1487.0,22368.0,15138.0,25043.0,16699.0,2019,0.013438105563028943,9.752970687394479e-05,0.0070018783276041595,63
Siro,15.102,775.0,20.36,14.405,5.19,5.577,690.0,1.675,9.24,8.345,45.16,3.84,2020,9.008584130938964e-05,,,64
Siro,615.0,245.0,405.0,14400.0,4260.0,11040.0,9835.0,7550.0,22295.0,8855.0,13243.0,9865.0,2021,0.005804373803817053,0.003271527973665221,8.99628143510681e-05,64
Siro,13.785,1.945,28.275,3.435,1.695,430.0,2.6,3.299,7.003,8.963,6.15,3.207,2022,2.879101149590137e-05,2.5149892439164343e-07,0.005804251479933535,64
Siro (Spotted sardinella),54400.0,8505.0,6355.0,115.0,8144.0,8597.0,19165.0,7451.0,64502.0,29625.0,22705.0,3903.0,2018,0.01320696377957539,,,65
Siro (Spotted sardinella),21229.0,6255.0,6124.0,5580.0,32472.0,14825.0,25532.0,24494.0,28808.0,27489.0,7240.0,5450.0,2019,0.011624779603997212,4.4729989495713195e-05,0.01320684236649205,65
Sunglir,1.842,4.4,2.5,0.0,200.0,290.0,120.0,550.0,1.13,250.0,300.0,100.0,2020,0.00010286923777078641,,,66
Sunglir,600.0,5860.0,1355.0,6950.0,2300.0,190.0,2580.0,3100.0,340.0,410.0,2800.0,350.0,2021,0.0015179552140896619,0.0007493574698989795,0.00010274621238530893,66
Sunglir,5.41,852.0,1.582,955.0,394.0,19.631,100.0,340.0,2.015,1.379,625.0,275.0,2022,0.00020193012332775487,6.761418839720839e-06,0.0015178323628135925,66
Sunglir (Rainbow runner),9330.0,3340.0,45715.0,6418.0,52277.0,17007.0,20759.0,10155.0,9197.0,9727.0,3391.0,3362.0,2018,0.010786423943012956,,,67
Sunglir (Rainbow runner),11271.0,11791.0,3414.0,16031.0,18141.0,11992.0,5062.0,12675.0,35250.0,13163.0,2303.0,2084.0,2019,0.008099329998855528,3.8158144470748864e-05,0.010786302232111133,67
Talang-Talang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,2021,5.011748973340083e-06,,,68
Tenggiri (Narrow-barred spanish mackerel),231.0,0.0,0.0,0.0,80.0,20.0,10.0,0.0,20708.0,11000.0,0.0,0.0,2019,0.0018129070640472802,,,69
Tenggiri (Narrow0barred spanish mackerel),0.0,40.0,255.0,205.0,325.0,172.0,390.0,186.0,3650.0,123.0,279.0,43.0,2018,0.0003205547906042559,,,70
Tenggiri [COM],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.874,0.0,0.0,2.0,2020,1.1013459084819467e-06,,,71
Tenggiri [COM],0.0,0.0,0.0,0.0,50.0,13000.0,6305.0,0.0,3420.0,0.0,0.0,7830.0,2021,0.0017312211278488145,0.07451019793991387,9.783080016822913e-07,71
Tenggiri [COM],180.0,47.05,23.21,23.826,25.5,19.631,50.0,15.0,190.0,43.644,37.0,8.815,2022,3.746414588095164e-05,1.1007593557864072e-06,0.0017310983028125655,71
Teri,1.005,0.0,3.285,1.58,9.115,18.428,480.0,0.0,0.0,0.0,1.18,0.0,2020,2.9030638660538976e-05,,,72
Teri,360.0,320.0,310.0,3855.0,2980.0,1885.0,2970.0,2750.0,3145.0,3475.0,3520.0,1660.0,2021,0.0015403000512076632,0.0026891348562071158,2.8907604190104817e-05,72
Teri,4.015,3.96,3.075,1.45,4.13,3.8,4.42,7.367,10.212,18.607,10.778,8.815,2022,4.481638926168461e-06,1.4920892768299662e-07,0.0015401772026808589,72
Teri (Anchovies),0.0,900.0,345.0,345.0,17362.0,12098.0,15305.0,16003.0,20554.0,28783.0,10509.0,8523.0,2018,0.007395043360579283,,,73
Teri (Anchovies),7147.0,9099.0,11542.0,7755.0,1860.0,7745.0,3415.0,3963.0,2419.0,12475.0,4190.0,4140.0,2019,0.004285038018208745,2.9446090809411096e-05,0.007394921232408633,73
Tetengkek,0.0,0.0,0.0,300.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,3.2730660841240535e-05,,,74
Tetengkek (Torpedo Scad),0.0,0.0,150.0,0.0,0.0,0.0,870.0,350.0,0.0,0.0,0.0,0.0,2018,7.742033507724331e-05,,,75
Tongkol Abu-Abu [LOT],0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,6.389492031590523e-07,,,76
Tongkol Abu-Abu [LOT],800.0,0.0,2000.0,0.0,0.0,15050.0,0.0,0.0,0.0,0.0,0.0,17250.0,2021,0.0019854997173308804,0.14045345000909962,5.159112394670115e-07,76
Tongkol Abu-Abu [LOT],132.54,47.05,23.21,23.826,1.0,19.631,50.0,73.968,81.712,169.885,53.8,51.6,2022,4.111546197365674e-05,1.0530832272515251e-06,0.0019853769235805715,76
Tongkol Banyar [KAW],0.0,200.0,0.0,0.0,50.0,85.0,0.0,0.0,100.0,240.0,3.125,20.0,2020,3.941289852368083e-05,,,77
Tongkol Banyar [KAW],0.0,195.0,137.0,15.0,0.0,14700.0,0.0,50.0,125.0,0.0,0.0,14050.0,2021,0.0016558143737265465,0.0021308259012161436,3.9289865330659595e-05,77
Tongkol Pisang-Balaki [FRI],143.88,147.602,456.415,461.51,460.083,429.434,494.986,513.203,728.844,744.343,736.956,503.301,2020,0.0003291848192528912,,,78
Tongkol Pisang-Balaki [FRI],301793.0,217139.0,283218.0,252920.0,180787.0,280835.0,273017.0,360699.0,416136.0,298769.0,495308.0,349973.0,2021,0.20990528391528376,0.03239723112569333,0.00032906182171283977,78
Tongkol Pisang-Balaki [FRI],404.716,292.165,411.816,354.61,211.37,345.651,306.343,205.921,331.201,314.516,213.913,230.048,2022,0.0002048294649399294,4.834072902703461e-08,0.20990518670357663,78
Tongkol Pisang-Cerutu [BLT],0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,2.78,0.0,2020,4.816160937047704e-05,,,79
Tongkol abu-abu                        Longtail tuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,0.0,2019,7.34604905246861e-05,,,80
Tongkol komo (Eastern little tuna),1500.0,7250.0,600.0,2166.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0.0007079407262601382,,,81
